a hand holding a spraying hose to a toilet bowl in a small toilet stall <eos> <pad>
a man with a toilet a and a toilet <eos> <eos> the sink bathroom <eos> <eos> <eos>

a group of parked cars and people in a parking lot near some houses <eos> <pad> <pad>
a man of people in on a on a city lot <eos> a trees <eos> <eos> <eos>

an aerial view of a street at night with the cars headlights streaking through <eos> <pad> <pad>
a old view of a bathroom sign a <eos> a background <eos> <eos> <eos> the <eos> <eos>

a man lying down on a couch with a cat on top of him <eos> <pad> <pad>
a man in on a a street next a street <eos> a of a <eos> <eos> <eos>

traffic lights and people walking as other on a crane continue with their work <eos> <pad> <pad>
a lights on a are on a on a street <eos> <eos> a building <eos> <eos> <eos>

parked cars motorcycles and buses on a cobblestone parking lot next to a street <eos> <pad> <pad>
a in and parked a parked a street <eos> lot <eos> to a street <eos> <eos> <eos>

four jet airplanes flying straight up in the sky leaving a smoke trail <eos> <pad> <pad> <pad>
a giraffes flying flying through in in the sky <eos> the building <eos> <eos> <eos> <eos> <eos>

night picture of a car parked and some parking lights in the distance <eos> <pad> <pad> <pad>
a with of a bathroom parked in a trees lot <eos> the background <eos> <eos> <eos> <eos>

a pair of men and a dog standing on a snow covered hill <eos> <pad> <pad> <pad>
a man of people standing a small on on a bench <eos> field <eos> <eos> <eos> <eos>

people rides bicycles as a bus driver stands in front of the bus <eos> <pad> <pad> <pad>
a are a on a bus on on on the of a street <eos> <eos> <eos> <eos>

an <oov> kitchen with oven sink cabinets microwave wood floor and a window <eos> <pad> <pad> <pad>
a old with with a and and and <eos> <eos> <eos> a stove <eos> <eos> <eos> <eos>

an old bus being loaded with luggages as people with bicycles looks on <eos> <pad> <pad> <pad>
a old plane is by on a on a on a <eos> on the <eos> <eos> <eos>

a person spraying water into a toilet bowl in a tiled room <eos> <pad> <pad> <pad> <pad>
a man riding a on a motorcycle and <eos> a bathroom bathroom <eos> <eos> <eos> <eos> <eos>

a close up of a ceramic bowl that has been painted <eos> <pad> <pad> <pad> <pad> <pad>
a man up of a small sign of is a it on <eos> <eos> <eos> <eos> <eos>

a stove with pan and teapot on top in the kitchen <eos> <pad> <pad> <pad> <pad> <pad>
a man and a and a on the of the background <eos> <eos> <eos> <eos> <eos> <eos>

a man wearing a bike helmet standing next to a bicycle <eos> <pad> <pad> <pad> <pad> <pad>
a man in a hat on on in to a building <eos> <eos> <eos> <eos> <eos> <eos>

a wooden bench next to a wall with a wooden door <eos> <pad> <pad> <pad> <pad> <pad>
a man bench sitting to a building with a toilet bench <eos> <eos> <eos> <eos> <eos> <eos>

a plain white bathroom shown with toilet sink and shower <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom and with with a and and a <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a black and white car peeping through a glass window <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man and white photo parked on a street <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a blue plane is at the terminal of an airport <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man and is flying the airport of a airport <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a green traffic signal at an intersection in a town <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man and light with a airport with a city <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a narrow bathroom with a sink mirrors and a shower <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom with a toilet and and a toilet <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a clean toilet in a bathroom with a cement floor <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom and a bathroom with a toilet <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

planes on a wet tarmac unloading at <oov> gates <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a are the city city with in the <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a police motor bike moves past as crowd watches <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man officer bike parked on a a of <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a door is open on a white subway train <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man is sitting in the city toilet train <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a stove microwave sink and dishwasher in a kitchen <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man and and and a in a bathroom <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a bathroom with the sink and medicine cabinet visible <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man with a toilet and toilet toilet <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a street sign with a building in the background <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man sign on a street and the background <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a cat sitting outside on some cobble stone <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man sitting on a a a on <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a dirty worn down kitchen a door scene <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom bathroom a with stove and <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a bathroom counter decorated with vines and flowers <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man with with with a and a <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

