a hand holding a spraying hose to a toilet bowl in a small toilet stall <eos>
a man feeding a giraffe fire to a fire <eos> <eos> a bathroom bathroom <eos> <eos>

four jet airplanes flying straight up in the sky leaving a smoke trail <eos> <pad> <pad>
a giraffes airplanes flying in up in the sky <eos> <eos> trail trail <eos> <eos> <eos>

night picture of a car parked and some parking lights in the distance <eos> <pad> <pad>
a time of a city and on a people signs <eos> the city <eos> <eos> <eos>

a pair of men and a dog standing on a snow covered hill <eos> <pad> <pad>
a man of giraffes standing women woman in in a sidewalk covered field <eos> <eos> <eos>

people rides bicycles as a bus driver stands in front of the bus <eos> <pad> <pad>
a are a down a bus drives in in the of a bus <eos> <eos> <eos>

an <oov> kitchen with oven sink cabinets microwave wood floor and a window <eos> <pad> <pad>
a airplane with with a and and and and <eos> <eos> a window <eos> <eos> <eos>

an old bus being loaded with luggages as people with bicycles looks on <eos> <pad> <pad>
a airplane fashioned is loaded with luggage on a watch a <eos> on <eos> <eos> <eos>

a motorcycle and couple of bicycles sitting on rugs in a store <eos> <pad> <pad> <pad>
a man parked a of people are on a <eos> the field <eos> <eos> <eos> <eos>

a man wearing a bike helmet standing next to a bicycle <eos> <pad> <pad> <pad> <pad>
a man is a hat and and next to a motorcycle <eos> <eos> <eos> <eos> <eos>

a wooden bench next to a wall with a wooden door <eos> <pad> <pad> <pad> <pad>
a man bench sitting to a tree in a dog bench <eos> <eos> <eos> <eos> <eos>

an aerial view of several <oov> cars on a narrow road <eos> <pad> <pad> <pad> <pad>
a airplane view of a buses and and a city road <eos> <eos> <eos> <eos> <eos>

a black and white car peeping through a glass window <eos> <pad> <pad> <pad> <pad> <pad>
a man and white photo parked on a window door <eos> <eos> <eos> <eos> <eos> <eos>

a blue plane is at the terminal of an airport <eos> <pad> <pad> <pad> <pad> <pad>
a man and is flying the airport at the airport <eos> <eos> <eos> <eos> <eos> <eos>

a green traffic signal at an intersection in a town <eos> <pad> <pad> <pad> <pad> <pad>
a man and light with a intersection with a city <eos> <eos> <eos> <eos> <eos> <eos>

a narrow bathroom with a sink mirrors and a shower <eos> <pad> <pad> <pad> <pad> <pad>
a man kitchen with a toilet and and a window <eos> <eos> <eos> <eos> <eos> <eos>

a clean toilet in a bathroom with a cement floor <eos> <pad> <pad> <pad> <pad> <pad>
a man kitchen in a bathroom with a sink floor <eos> <eos> <eos> <eos> <eos> <eos>

a group of cars parked in a lot behind buildings <eos> <pad> <pad> <pad> <pad> <pad>
a man of people driving on a parking <eos> a <eos> <eos> <eos> <eos> <eos> <eos>

an old man in a suit and tie is staring <eos> <pad> <pad> <pad> <pad> <pad>
a airplane fashioned is a suit and tie <eos> sitting <eos> <eos> <eos> <eos> <eos> <eos>

a plane begins to land as seen from the street <eos> <pad> <pad> <pad> <pad> <pad>
a man is to land at it from the ground <eos> <eos> <eos> <eos> <eos> <eos>

a bathroom with the sink and medicine cabinet visible <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man with a toilet and a cabinet <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a street sign with a building in the background <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man sign that a traffic in the background <eos> <eos> <eos> <eos> <eos> <eos> <eos>

various items sit on top of tables and counters <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a people laid on a of a in chairs <eos> <eos> <eos> <eos> <eos> <eos> <eos>

old fashioned planes in a line on the ground <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a fashioned train are the field on a runway <eos> <eos> <eos> <eos> <eos> <eos> <eos>

eight jets in the sky in a flying formation <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a sheep are formation air with the clear in <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a cat sitting outside on some cobble stone <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man sitting on on a steps stone <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a dirty worn down kitchen a door scene <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom out toilet with wooden with <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a bathroom counter decorated with vines and flowers <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man with with with a growing a <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

horse grazing in field next to old church <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a drawn in a with to a buildings <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a giraffe standing next to a tour jeep <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man standing in to a tree bus in <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a multiple shelf computer desk with two monitors <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man street with and with a monitors and <eos> <eos> <eos> <eos> <eos> <eos> <eos>

plane flying high in a clear blue sky <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a flying in in the blue blue sky <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a plane flying high in a blue sky <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man is in in the blue sky <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

